id,category,product_url,name,ingredients
21,Skin_fading__lightener,https://www.ewg.org/skindeep/products/988391-Caudalie_Vinoperfect_Radiance_Dark_Spot_Serum/,Caudalie Vinoperfect Radiance Dark Spot Serum,"aqua/water/eau, butylene glycol, glycerin, cococaprylate/caprate, squalane, palmitoyl grapevine shoot extract, polyglyceryl-3 distearate, bisabolol, glyceryl stearate, xanthan gum, caprylyl glycol, microcrystalline cellulose, polyacrylate crosspolymer-6, potassium sorbate, glyceryl stearate citrate, citric acid, sodium phytate, sodium hydroxide, parfum (fragrance)"
22,Skin_fading__lightener,https://www.ewg.org/skindeep/products/1007998-Ambi_Fade_Cream_for_Dark_Spots_Oily_Skin/,"Ambi Fade Cream for Dark Spots, Oily Skin","Water, Glycerin, Urea, Cetearyl Alcohol, Glyceryl Glucoside, Cyclomethicone, Sodium Lactate, Butyrospermum Parkii (Shea) Butter, Caprylic/Capric Triglyceride, Methylpropanediol, Octyldodecanol, Dicaprylyl Ether, Tapioca Starch, Glyceryl Stearate SE, Hydrogenated Coco-Glycerides, Arginine HCl, Sodium PCA, Dimethiconol, Lactic Acid, Chondrus Crispus (Carrageenan), Carnitine, Ceramide 3, Mannitol, Serine, Sucrose, Citrulline, Glycogen, Histidine HCl, Alanine, Threonine, Glutamic Acid, Lysine HCl, Sodium Chloride, Sodium Cetearyl Sulfate, 1,2-Hexanediol, Phenoxyethanol"
23,Skin_fading__lightener,https://www.ewg.org/skindeep/products/8678932-Ambi_Even__Clear_Fade_Cream/,Ambi Even & Clear Fade Cream,"WATER (AQUA), GLUCONOLACTONE, NIACINAMIDE, STEARYL ALCOHOL, CAPRYLIC/CAPRIC TRIGLYCERIDE, COCONUT ALKANES, BUTYROSPERMUM PARKII (SHEA) BUTTER, COCO-CAPRYLATE, STEARETH-2, POLYACRYLATE CROSSPOLYMER-6, STEARETH-21, BUTYLENE GLYCOL, DIMETHICONE, PHENOXYETHANOL, TAPIOCA STARCH, GLYCYRRHIZA GLABRA (LICORICE) ROOT EXTRACT, PHENYLETHYL RESORCINOL, SCLAREOLIDE, FRAGRANCE (PARFUM), DISODIUM EDTA, SODIUM HYDROXIDE, ETHYLHEXYLGLYCERIN"
24,Skin_fading__lightener,https://www.ewg.org/skindeep/products/962040-Specific_Beauty_Skin_Brightening_Toner/,Specific Beauty Skin Brightening Toner,"WATER (AQUA), POLYSORBATE 20, CAMELLIA SINENSIS LEAF EXTRACT, CITRUS AURANTIUM DULCIS (ORANGE) FRUIT WATER, ASCORBYL GLUCOSIDE, HYDROXYLATED SOY LECITHIN, PHYLLANTHUS EMBLICA FRUIT EXTRACT, MORUS ALBA BARK EXTRACT, ARCTOSTAPHYLOS UVA-URSI LEAF EXTRACT, ARBUTIN, CITRUS TERPENES, ASCORBIC ACID, PEG-60 HYDROGENATED CASTOR OIL, GLYCERIN, SUPEROXIDE DISMUTASE, XANTHAN GUM, GLYCERETH-26, PHENOXYETHANOL, SODIUM BENZOATE, POTASSIUM SORBATE, CITRIC ACID, FRAGRANCE (PARFUM), DISODIUM EDTA."
25,Skin_fading__lightener,https://www.ewg.org/skindeep/products/8489838-It_Cosmetics_Bye_Bye_Redness_Serum/,IT Cosmetics Bye Bye Redness Serum,"Aqua / Water / Eau, Glycerin, Niacinamide, Propanediol, Isopropyl Lauroyl Sarcosinate, Dimethicone, Glyceryl Stearate, Peg-100 Stearate, C14-22 Alcohols, Colloidal Oatmeal, Phenoxyethanol, Dimethicone/Vinyl Dimethicone Crosspolymer, Panthenol, CI 77891 / Titanium Dioxide, C12-20 Alkyl Glucoside, Chlorphenesin, Carnosine, Dipotassium Glycyrrhizate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Xanthan Gum, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Mica, Bisabolol, Aloe Barbadensis Leaf Juice Powder, Centella Asiatica Extract, CI 77288 / Chromium Oxide Greens, Citric Acid, Trisodium Ethylenediamine Disuccinate, Trideceth-6, Peg-30 Dipolyhydroxystearate, Tin Oxide."
26,Skin_fading__lightener,https://www.ewg.org/skindeep/products/1040665-Manuka_Lane_DARK_SPOT_CORRECTOR/,Manuka Lane DARK SPOT CORRECTOR,"Water, Glycerin, Cetearyl Olivate, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Sorbitan Olivate, Manuka Honey, Phenoxyethanol, Melissa Officinalis Leaf Extract, Mentha Piperita (Peppermint) Leaf Extract, Alchemilla Vulgaris Extract, Primula Veris Extract, Achillea Millefolium Extract, Veronica Officinalis Extract, Malva Sylvestris (Mallow) Extract, Xanthan Gum, Ethylhexylglycerin, Parfum"
27,Skin_fading__lightener,https://www.ewg.org/skindeep/products/1039716-First_Aid_Beauty_FACIAL_RADIANCE_NIACINAMIDE_DARK_SPOT_SERUM/,First Aid Beauty FACIAL RADIANCE NIACINAMIDE DARK SPOT SERUM,"aqua/water/eau, niacinamide, dimethicone, tapioca starch, glycerin, butylene glycol, panthenol, polysorbate 20, actinidia chinensis (kiwi) fruit extract, chrysanthemum parthenium (feverfew) extract, glycyrrhiza glabra (licorice) root extract, camellia sinensis leaf extract, allantoin, aminomethyl propanol, hydroxyacetophenone, polymethylsilsesquioxane, undecylenoyl phenylalanine, acrylates/vinyl isodecanoate crosspolymer, dimethiconol, laureth-4, glyceryl acrylate/acrylic acid copolymer, pvm/ma copolymer, phenoxyethanol, disodium edta, tetrasodium edta"
28,Skin_fading__lightener,https://www.ewg.org/skindeep/products/920382-Alchimie_Forever_Pigment_Lightening_Serum_old_formulation/,Alchimie Forever Pigment Lightening Serum (old formulation),"Water/Aqua, Glycerin, Simmondsia Chinensis (Jojoba) Seed Oil, Alpha Arbutin, Polyacrylamide, Citrus Unshiu Peel Extract, Humulus Lupulus (Hops) Strobile, Camellia Sinensis (Green Tea) Leaf Extract, Vaccinium Myrtillus (Bilberry) Fruit Extract, Sodium Hyaluronate, Ascorbyl Glucoside, Tocopherol, Caprylic/Capric Triglyceride, Isononyl Isononanoate, C13-14 Isoparaffin, Laureth-7, Sodium Hydroxide, Chlorphenesin, Benzyl Alcohol, Benzoic Acid, Sorbic Acid, Fragrance/Parfum"
29,Skin_fading__lightener,https://www.ewg.org/skindeep/products/974899-DERMA_E_Skin_Lighten_Creme/,derma e Skin Lighten Creme,"PURIFIED WATER, CAPRYLIC/CAPRIC TRIGLYCERIDE, GLYCERIN, CETYL ALCOHOL, GLYCERYL STEARATE CITRATE, STEARIC ACID, COCO-CAPRYLATE, GLYCYRRHIZA URALENSIS (LICORICE) ROOT EXTRACT, POLYSORBATE 60, GLYCERYL STEARATE, ALPHA-ARBUTIN, ASCORBYL PALMITATE (VITAMIN C), DIMETHICONE, TITANIUM DIOXIDE, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL*, ALCOHOL, SILYBUM MARIANUM EXTRACT, PANAX GINSENG ROOT EXTRACT, XANTHAN GUM, CETEARYL GLUCOSIDE, TOCOPHERYL ACETATE, JOJOBA ESTERS, ALUMINA, SILICA, POTASSIUM SORBATE, PHENOXYETHANOL, ETHYLHEXYLGLYCERIN."
30,Skin_fading__lightener,https://www.ewg.org/skindeep/products/1045482-EADEM_Milk_Marvel_Dark_Spot_Serum/,EADEM Milk Marvel Dark Spot Serum,": WATER/ AQUA, CAPRYLIC/CAPRIC TRIGLYCERIDE, GLYCERIN, CRAMBE ABYSSINICA SEED OIL PHYTOSTEROL ESTERS, NIACINAMIDE, GLYCERYL STEARATE SE, METHYLPROPANEDIOL, POLYGLYCERYL-6 LAURATE, POLYGLYCERYL-10 OLEATE, CETEARETH-20, CETEARYL ALCOHOL, PHENOXYETHANOL, CAPRYLYL GLYCOL, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, SORBITAN PALMITATE, SODIUM PHYTATE, GLYCYRRHIZA GLABRA (LICORICE) ROOT EXTRACT, CELLULOSE GUM, 3-O-ETHYL ASCORBIC ACID, HONOKIOL, MAGNOLOL, PLANKTON EXTRACT, BROMELAIN, PAPAIN, LECITHIN, SODIUM HYDROXIDE, ALGIN, SODIUM ASCORBATE, TOCOPHEROL"
