id,category,product_url,name,ingredients,status
11,Toners__astringents,https://www.ewg.org/skindeep/products/663946-Qet_Botanicals_Hydrating_Toning_Water_with_Lavender__Rose/,Qet Botanicals Hydrating Toning Water with Lavender & Rose,"Lavandula Angustifolia (Lavender) Flower Distillate*, Rosa Damascena (Rose) Flower Distillate*.  *Organic Ingredient",scraped
12,Toners__astringents,https://www.ewg.org/skindeep/products/1086106-Shaklee_YOUTH_Perfecting_Skin_Toner/,Shaklee YOUTH Perfecting Skin Toner,"Water, Glycerin, Tocopheryl Acetate (Vitamin E), Panthenol (Vitamin B5), Magnesium Ascorbyl Phosphate (Vitamin C), Retinyl Palmitate (Vitamin A), Vitis Rotundifolia (Muscadine Grape) Fruit Extract, Enteromorpha Compressa (Green Algae) Extract, Citrus Nobilis (Mandarin Orange) Peel Oil, Saccharomyces Cerevisiae (Yeast) Extract, Elettaria Cardamomum Seed Oil, Laminaria Digitata (Seaweed) Extract, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Beta-Glucan, Vitis Vinifera (Grape) Seed Extract, Caesalpinia Spinosa (Tara Tree) Gum, Eugenia Caryophyllus (Clove) Leaf Oil, Acacia Decurrens Extract, Cananga Odorata Flower Oil, Citrus Limon (Lemon) Peel Oil, Coriandrum Sativum (Coriander) Fruit Oil, Superoxide Dismutase, Citric Acid, Urea, Xanthan Gum, Sodium Phytate, 1,2-Hexanediol, Caprylyl Glycol, Phenoxyethanol, Polysorbate 20, Sodium Citrate, Ethylhexylglycerin, Glucosamine HCl, Eugenol, Linalool, Limonene",scraped
13,Toners__astringents,https://www.ewg.org/skindeep/products/697750-Jenuinely_pure_astringent_/,jenuinely pure astringent,"Purified water, hamamelis virginiana (witch hazel) distillate, organic aloe barbadensis (aloe) leaf gel, glycerin, organic acetic acid (apple cider) vinegar, melaleuca alternifolia (tea tree) oil, organic urtica dioica (nettle leaf) extract, organic melissa officinalis (lemon balm) extract, organic matricaria recutita (chamomile) extract",scraped
14,Toners__astringents,https://www.ewg.org/skindeep/products/703026-Akar_Skin_Nourish_Balancing_Essence_/,Akar Skin Nourish Balancing Essence,"Rosa Centifolia (Rose) Flower Water, Citrus Aurantium Amara (Neroli) Flower Water, Populus Tremuloides (Aspen) Bark Extract, Salix Alba (White Willow) Bark Extract, Crocus Sativus Meristem (Saffron) Cell Extract, Lactobacillus Ferment, Aqua",scraped
15,Toners__astringents,https://www.ewg.org/skindeep/products/1086137-Three_Ships_Fresh_Start_Lime_Pearl__Prickly_Pear_5_PHA_Resurfacing_Treatment/,Three Ships Fresh Start Lime Pearl + Prickly Pear 5% PHA Resurfacing Treatment,"Aqua/Water/Eau, Aloe Barbadensis (Aloe Vera) Leaf Juice, Pentylene Glycol, Glycerin, Opuntia Ficus-Indica Fruit Extract, Beta Vulgaris (Beet) Root Extract, Hydrolyzed Corn Starch, Sodium Levulinate, Sodium Anisate, Lactobacillus Ferment, Citric Acid, Sodium Hydroxide, Sodium Phytate, Microcitrus Australasica Fruit Extract, Alcohol",scraped
16,Toners__astringents,https://www.ewg.org/skindeep/products/799427-Juara_Tamarind_Tea_Hydrating_Toner_old_formulation/,Juara Tamarind Tea Hydrating Toner (old formulation),"Water, Pentylene Glycol, Tamarind Seed (Tamarindus indica) Extract, White Tea, Green Tea, Black Tea (Camellia sinensis) Extract, Rice (Oryza sativa) Bran Extract, Glycerin, Sodium Hyaluro- nate, Potassium Sorbate.",scraped
17,Toners__astringents,https://www.ewg.org/skindeep/products/799429-Juara_Tamarind_Tea_Hydrating_Toner/,Juara Tamarind Tea Hydrating Toner,"Water, Pentylene Glycol, Tamarind Seed (Tamarindus indica) Extract, White Tea, Green Tea, Black Tea (Camellia sinensis) Extract, Rice (Oryza sativa) Bran Extract, Glycerin, Sodium Hyaluronate, Potassium Sorbate",scraped
18,Toners__astringents,https://www.ewg.org/skindeep/products/1048419-Sonage_Hydrating_Rinse/,Sonage Hydrating Rinse,"water, aloe barbadensis (aloe vera) leaf extract, polyglyceryl-10 caprylate, chamomilla recutita (matricaria) flower extract, panax (ginseng) root extract, Sambucus Nigra (Elder) Flower Extract, rosa damascena (rose) hydrosol, citrus grandis (grapefruit) oil, melia azadirachta leaf (neem) extract, melia azadirachta flower extract, Coccinia Indica Leaf Extract, corallina officinalis extract, Tremella Fuciformis (Mushroom) Extract, betaine, glycerin, allantoin, lactic acid, leuconostoc/radish root ferment filtrate, sodium dehydroacetate",scraped
19,Toners__astringents,https://www.ewg.org/skindeep/products/998570-Be_Green_Bath__Body_Cucumber__Watermelon_Toner/,Be Green Bath & Body Cucumber + Watermelon Toner,"Hamamelis Virginiana (Witch Hazel) Hydrosol Water, Aqua (Distilled Water), Glycerin, Citrullus Lanatus (Watermelon) Fruit Extract, Cucumis Sativus (Cucumber) Fruit Extract, Camellia Sinensis (Green Tea) Leaf Extract, Salix Alba (Willow) Bark Extract, Lactobacillus Ferment, Propanediol, Ethylhexyl Glycerin, Potassium Sorbate.",scraped
20,Toners__astringents,https://www.ewg.org/skindeep/products/938098-Ecolline_Manuka_Marula_Balancing_Toner/,Ecolline Manuka Marula Balancing Toner,"Aqua, Chamomilla Recutita (Matricaria) Flower Water, Butylene Glycol, Dipropylene Glycol, 1,2-Hexanediol, Glycerin, Sodium Citrate, Lavandula Angustifolia (Lavender) Extract, Citric Acid, Adenosine, Disodium EDTA, Polyglyceryl-10 Laurate, Polyglyceryl-4 Laurate, Sodium Hyaluronate, Betaine, Panthenol, Honey Extract, Sclerocarya Birrea Seed Oil, Beta-Glucan",scraped
21,Toners__astringents,https://www.ewg.org/skindeep/products/771220-isoi_Sensitive_Skin_Tonic/,isoi Sensitive Skin Tonic,"Water, Glycerin, Betaine, Brassica Oleracea Italica (Broccoli) Sprout Extract, Sodium Hyaluronate, Laminaria Japonica Extract, Salicornia Herbacea Extract, Sargassum Fulvellum Extract, Gelidium Cartilagineum Extract, Xanthan Gum, Allantoin, Panthenol, Calendula Officinalis Flower Extract, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Lactobacillus/Soybean Ferment Extract, Salix Alba (Willow) Bark Extract, Cinnamomum Cassia Bark Extract,  Scutellaria Baicalensis Root Extract, Portulaca Oleracea Extract, Rosmarinus Officinalis (Rosemary) Extract, Melaleuca Viridiflora Leaf Oil, Chamomilla Recutita (Matricaria) Flower/Leaf Extract, Centella Asiatica Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Origanum Vulgare Leaf Extract, Chamaecyparis Obtusa Leaf Extract, Camellia Sinensis Leaf Extract, Acorus Calamus Root Extract, Glycine Soja (Soybean) Seed Extract, Sesamum Indicum (Sesame) Seed Extract, Paeonia Suffruticosa Root Extract",scraped
22,Toners__astringents,https://www.ewg.org/skindeep/products/768499-NENA_Mineral_Toner/,NENA Mineral Toner,"Sea Silt Extract (Glacial Marine Extract), Sodium PCA, Polysorbate 20, Aqua, Vaccinium Myrtillus Fruit Extract, Saccharum Officinarum (Sugar Cane) Extract, Acer Saccharum (Sugar Maple) Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Lysolecithin, Sclerotium Gum, Xanthan Gum, Pullulan, Hydroxyacetophone, Chondrus Crispus (Carrageenan) Powder, Aloe Barbadensis Leaf Extract, Sodium Hyaluronate, Lavandula Angustifolia (Lavender) Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil.",scraped
23,Toners__astringents,https://www.ewg.org/skindeep/products/714144-Lowens_Natural_Skin_Care_Get_Toned/,Lowen's Natural Skin Care Get Toned!,"Aqua, Lavandula Angustifolia (lavender) Flower Water, Glycerin, Carthamus Tinctorius (Safflower) Oleosomes, Aloe Barbadensis Leaf, Panthenol, Phenoxyethanol, Ethylhexylglycerin",scraped
24,Toners__astringents,https://www.ewg.org/skindeep/products/707415-Whamisa_Organic_Flowers_Toner_Deep_Rich/,Whamisa Organic Flowers Toner Deep Rich,"*Aloe Maculata Leaf Extract, *Chrysanthemum Morifolium Flower Extract, *Avena Sativa (Oat) Kernel Extract, *Lactobacillus/Chrysanthemum Sinense Flower Ferment Filtrate, *Lactobacillus/Nelumbo Nucifera Flower Ferment Filtrate, *Lactobacillus/Taraxacum Officinale (Dandelion) Rhizome/Root Ferment Filtrate, Galactomyces Ferment Filtrate, *Persea Gratissima (Avocado) Oil, *Argania Spinosa Kernel Oil, *Helichrysum Italicum Extract, *Brassica Oleracea Italica (Broccoli) Extract, *Glycerin, ***Scutellaria Baicalensis Root Extract, ***Paeonia Suffruticosa Root Extract, ***Glycyrrhiza Glabra (Licorice) Root Extract, Hibiscus Sabdariffa Flower Extract, Lithospermum Erythrorhizon Root Extract, Xanthan Gum, Aniba Rosaeodora (Rosewood) Wood Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Cymbopogon (Lemon Grass) Oil, p-Methoxybenzaldehyde, Hexyl acetate, Vanillin, Phenylacetic acid, gamma-Undecalactone.",scraped
25,Toners__astringents,https://www.ewg.org/skindeep/products/971474-True_Botanicals__True_Botanicals_Clear_Nutrient_Toner/,True Botanicals Clear Nutrient Toner,"camellia sinensis (green and white tea) leaf extract*, santalum album (sandalwood) water*, saccharomyces/xylinum/black tea ferment (kombucha)*, salix nigra (black willow) bark extract*, helichrysum italica (helichrysum) extract, olea europaea (olive) leaf extract, (apple cider) vinegar*, caprylyl/capryl glucoside (plant based emulsifier), silybum marianum (milk thistle) seed oil, Nannochloropsis Oculata Extract, Porphyra Umbilicalis Extract, phenethyl alcohol**, ethylhexylglycerin**, santalum album (sandalwood) oil*, lavandula hybrida (lavender) oil*",scraped
26,Toners__astringents,https://www.ewg.org/skindeep/products/944724-ANIA_Rose_Immortelle_Mist/,ANIA Rose Immortelle Mist,"Rosa Damascena (Rose) Flower Water, Hamamelis Virginiana (Witch Hazel) Water, Aloe Barbadensis (Aloe Vera) Leaf Water, Lactobacillus Ferment, Polyglyceryl-6 Caprylate (and) Polyglyceryl-4 Caprate, Helichrysum Italicum (Everlasting) Flower Water",scraped
27,Toners__astringents,https://www.ewg.org/skindeep/products/966483-Olivarrier_Dual_Moist_Toning_Lotion/,Olivarrier Dual Moist Toning Lotion,"Water, Pentylene Glycol, Glycerin, Camellia Sinensis Leaf, Sodium Hyaluronate, Hydrolyzed Hyaluronic Acid, Hyaluronic Acid, Propanediol, Betaine, Xanthan Gum, Artemisia Annua Extract, Camellia Sinensis Leaf Extract, Azadirachta Indica Leaf Extract, Polyglutamic Acid, Citric Acid, Glyceryl Caprylate, Centella Asiatica Extract, Squalane",scraped
28,Toners__astringents,https://www.ewg.org/skindeep/products/663947-Qet_Botanicals_Restoring_Toning_Water_with_Immortelle_Calendula__Lavender/,"Qet Botanicals Restoring Toning Water with Immortelle, Calendula & Lavender","Lavandula Angustifolia (Lavender) Flower Distillate*, Helichrysum Italicum (Immortelle) Flower Distillate*, Calendula Officinalis (Calendula) Flower Distillate. *Organic Ingredient",scraped
29,Toners__astringents,https://www.ewg.org/skindeep/products/936077-WO_Tone_/,W/O Tone,Viola Tricolor (Violet) Hydrosol*,scraped
30,Toners__astringents,https://www.ewg.org/skindeep/products/1086139-Sonage_Hydrating_Mist/,Sonage Hydrating Mist,"water, aloe barbadensis (aloe vera) leaf extract, polyglyceryl-10 caprylate, chamomilla recutita (matricaria) flower extract, panax (ginseng) root extract, Sambucus Nigra (Elder) Flower Extract, rosa damascena (rose) hydrosol, citrus grandis (grapefruit) oil, melia azadirachta leaf (neem) extract, melia azadirachta flower extract, Coccinia Indica Leaf Extract, corallina officinalis extract, Tremella Fuciformis (Mushroom) Extract, betaine, glycerin, allantoin, lactic acid, leuconostoc/radish root ferment filtrate, sodium dehydroacetate",scraped
31,Toners__astringents,https://www.ewg.org/skindeep/products/950950-Follain_Toning_Mist_Balance__Prime/,Follain Toning Mist Balance + Prime,"Water/Aqua/Eau, Aloe Barbadensis Leaf Juice, 1,2-Hexanediol, Pentylene Glycol, Rosa Damascena Flower Water, Chamomilla Recutita (Matricaria) Flower Extract, Rosa Canina Fruit Extract, Moringa Oleifera Leaf Extract, Ubiquinone (CoQ10), Cryptomeria Japonica Branch/Leaf Extract, Macrocystis Pyrifera (Kelp) Extract, Glycerin, Citrus Limon (Lemon) Peel Extract, Butylene Glycol, Galactoarabinan, Sodium PCA, Tetrasodium Glutamate Diacetate, Sodium Benzoate, Xanthan Gum, Potassium Sorbate, Citric Acid",scraped
32,Toners__astringents,https://www.ewg.org/skindeep/products/6221545-Knours_Knours_Power_ElasticityBoosting_Plump_Pad/,Knours Power Elasticity-Boosting Plump Pad,"water, butylene glycol, glycerin, dipropylene glycol, 1,2-hexandiol, hydroxyacetophenone, glycereth-25 PCA isostearate, sodium citrate, artemisia princeps leaf extract, citric acid, ocimum sanctum leaf extract, ethylhexylglycerin, hydroxyethylcellulose, gossypium herbaceum (cotton) seed extract, zea mays (corn) kernel extract, capsella bursa-pastoris extract, disodium EDTA, avena sativa (oat) kernel extract , allantoin, urtica dioica (nettle) extract, panthenol, fructan, glucose",scraped
33,Toners__astringents,https://www.ewg.org/skindeep/products/786579-petal_leaf_root__petal_leaf_root_by_Just_the_Goods_toner_for_normalsensitive_skin/,"petal, leaf, root. by Just the Goods toner for normal/sensitive skin","rosa damascena flower distillate (rose water/eau de rose)*, anthemis nobilis (roman chamomile/camomille romaine) oil*, pelargonium graveolens (geranium bourbon/geranium bourbon) oil*",scraped
34,Toners__astringents,https://www.ewg.org/skindeep/products/4121991-cleanjourney_Tone_Me_Softly_MultiActive_Toner/,cleanjourney Tone Me Softly Multi-Active Toner,"Aqua/Water/Eau, Glycerin, Hamamelis Virginiana (Witch Hazel) Water, Propanediol, Sodium Gluconate, Betaine, Panthenol, Sodium Benzoate, Citric Acid, Potassium Sorbate, Fucus Vesiculosus (Bladderwrack) Extract, Chamomilla Recutita (Matricaria) Flower Extract, Panax Ginseng Root Extract, Benzoic Acid",scraped
