id,category,product_url,name,ingredients,status
35,Toners__astringents,https://www.ewg.org/skindeep/products/787445-Olivarrier_Dual_Moist_Toning_Lotion_old_formulation/,Olivarrier Dual Moist Toning Lotion (old formulation),"Water, Pentylene Glycol, Propanediol, Squalane, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate, Centella Asiatica Extract, Glycerin, Polyglycerin-3, Polyglyceryl-10 Laurate, Polyglyceryl-10 Myristate, Sodium Citrate, Zanthoxylum Piperitum Fruit Extract, Pulsatilla Koreana Extract, Usnea Barbata (Lichen) Extract, Xanthan Gum, Citric Acid, Arginine",scraped
36,Toners__astringents,https://www.ewg.org/skindeep/products/776456-Cicago_Cica_Expert_Mist_Toner/,Cicago Cica Expert Mist Toner,"Water, Glycerin, Betaine, Sericin, Cnidium Monnieri Fruit Extract, Viscum Album (Mistletoe) Extract, Chamaecyparis Obtusa Leaf Extract, Centella Asiatica Extract, Panthenol, Allantoin, Carbomer, Arginine, Castanea Crenata (Chestnut) Shell Extract, Salix Alba (Willow) Bark Extract, Scutellaria Baicalensis Root Extract, Paeonia Suffruticosa Root Extract, Glycyrrhiza Uralensis (Licorice) Root Extract, Citrus Aurantium Bergamia (Bergamot) Fruit Oil",scraped
37,Toners__astringents,https://www.ewg.org/skindeep/products/663945-Qet_Botanicals_Balancing_Toning_Water_with_Melissa_Cucumber__Rose_Geranium/,"Qet Botanicals Balancing Toning Water with Melissa, Cucumber & Rose Geranium","Melissa Officinalis (Balm Mint) Leaf Distillate*, Cucumis Sativus (Cucumber) Fruit Distillate*, Pelargonium Capitatum (Rose Geranium) Flower Distillate*. *Organic Ingredient",scraped
38,Toners__astringents,https://www.ewg.org/skindeep/products/707417-Whamisa_Organic_Flowers_Toner_Refresh/,Whamisa Organic Flowers Toner Refresh,"*Aloe Maculata Leaf Extract, *Chrysanthemum Morifolium Flower Extract, *Camellia Sinensis Leaf Extract, *Lactobacillus/Chrysanthemum Sinense Flower Ferment Filtrate, *Lactobacillus/Nelumbo Nucifera Flower Ferment Filtrate, *Lactobacillus/Taraxacum Officinale (Dandelion) Rhizome/Root Ferment Filtrate, Galactomyces Ferment Filtrate, *Houttuynia Cordata Extract, *Citrus Junos Fruit Extract, *Centella Asiatica Extract, *Cucumis Sativus (Cucumber) Fruit Extract, *Ethanol, ***Scutellaria Baicalensis Root Extract, ***Paeonia Suffruticosa Root Extract, ***Glycyrrhiza Glabra (Licorice) Root Extract, Xanthan Gum, Sodium Citrate, Aniba Rosaeodora (Rosewood) Wood Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Aurantium Dulcis (Sweet Orange) Oil, p-Methoxybenzaldehyde, Hexyl acetate, Vanillin, Phenylacetic acid, gamma-Undecalactone.",scraped
39,Toners__astringents,https://www.ewg.org/skindeep/products/770731-Kypwell_Essentials_Signature_Flower_Mist_Toner/,Kypwell Essentials Signature Flower Mist Toner,"Rosa Damascena (Rose) Flower Water, Pelargonium Graveolens (Geranium) Water, Sambucus Nigra (Elder) Flower Water, Anthemis Nobilis (Chamomile) Flower Water.",scraped
40,Toners__astringents,https://www.ewg.org/skindeep/products/994344-Codex_Labs_SHAANT_Balancing_Refining_Toner/,Codex Labs SHAANT Balancing Refining Toner,"Water (Aqua), Hamamelis Virginiana (Witch Hazel) Leaf Extract, Lactobacillus Ferment, Propanediol, Glycerin, Polyglyceryl-10 Stearate, Gluconolactone, Lactobacillus, Ethanol, Fucus Spiralis (Spiral Wrack) Extract, Tetraselmis Chui Extract, Centella Asiatica Leaf Extract, Melia Azadirachta Leaf Extract, Ocimum Sanctum Leaf Oil, Octyldodecanol, Pogostemon Cablin (Patchouli) Leaf Extract, Cocos Nucifera (Coconut) Fruit Extract, Citric Acid, Sodium Benzoate, Potassium Sorbate, Xanthan Gum, Eugenol",scraped
41,Toners__astringents,https://www.ewg.org/skindeep/products/782332-Olivarrier_Dual_Moist_Hyaluron_Essence/,Olivarrier Dual Moist Hyaluron Essence,"Water, Pentylene Glycol, Squalane, Polyglycerin-3, Hydrolyzed Hyaluronic Acid, Cocos Nucifera (Coconut) Oil, Gardenia Tahitensis Flower, Tocopherol, Centella Asiatica Extract, Glycerin, Cetearyl Olivate, Sorbitan Olivate, C14-22 Alcohols, Xanthan Gum, C12-20 Alkyl Glucoside, Pulsatilla Koreana Extract, Zanthoxylum Piperitum Fruit Extract, Usnea Barbata (Lichen) Extract, Arginine, Gaultheria Procumbens (Wintergreen) Leaf Extract",scraped
42,Toners__astringents,https://www.ewg.org/skindeep/products/658419-isoi_Toner_a_Bottled_Oasis_for_Your_Skin/,"isoi Toner, a Bottled Oasis for Your Skin","Water, Glycerin, Betaine, Rosmarinus Officinalis (Rosemary) Extract, Melaleuca Viridiflora Leaf Oil, Chamomilla Recutita (Matricaria) Flower/Leaf Extract, Centella Asiatica Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Pleurotus Cystidiosus Ferment Filtrate, Phellinus Linteus Extract, Panthenol, Castanea Crenata (Chestnut) Shell Extract, Salix Alba (Willow) Bark Extract, Scutellaria Baicalensis Root Extract, Paeonia Suffruticosa Root Extract",scraped
43,Toners__astringents,https://www.ewg.org/skindeep/products/992606-Avarelle_Total_Calming_Toner_Pad/,Avarelle Total Calming Toner Pad,"Water, Butylene Glycol, Glycerin, 1,2-Hexanediol, Betaine, Sodium Hyaluronate, Melaleuca Alternifolia (Tea Tree) Extract, Houttuynia Cordata Extract, Camellia Sinensis Leaf Extract, Centella Asiatica Extract, Sodium Hyaluronate Crosspolymer, Hydrolyzed Hyaluronic Acid, Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Potassium Hyaluronate, Hydroxypropyltrimonium Hyaluronate, Sodium Acetylated Hyaluronate, Ethylhexylglycerin, Carbomer, Sodium Citrate, Pentylene Glycol, Disodium EDTA, Arginine, Gluconolactone, Citric Acid, Tocopherol",scraped
44,Toners__astringents,https://www.ewg.org/skindeep/products/899726-Vermont_Skincare_Company_T5_Toner/,Vermont Skincare Company T5 Toner,"*Hamamelis Virginiana (Witch Hazel), *Aloe Barbadensis Leaf (Aloe Vera), *Vegetable Glycerin, *Salix L Bark (Willow Bark) extract, *Copaifera Officinalis (Copaiba) essential oil",scraped
